accession,strain,gene,genotype
LC431377,A/duck/Alberta/16/1976(H3N8),PA,none
LC500397,A/chicken/Vietnam/HU10_1708/2018(H9N2),PA,none
MK168521,A/USA/SC6664/2018(H3N2),PA,none
MK592460,A/duck/Akita/51019/2017(H5N3),PA,none
MT107033,A/duck/Viet_Nam/HU13_65/2019(H5N6),PA,none
CY020730,A/mallard/Ohio/667/2002(H4N6),PA,none
CY020754,A/blue_winged_teal/Ohio/989/2002(H4N6),PA,none
CY036268,A/peregrine_falcon/Hong_Kong/2142/2008(H5N1),PA,none
JN982502,A/watercock/Thailand/CU_W3699/2009(H12N1),PA,none
JX908104,A/swine/Spain/07/2011(H1N2),PA,none
KC821120,A/chicken/Shandong/06/2010(H9N2),PA,none
KF881415,A/chicken/Egypt/Q1769B/2010(H5N1),PA,none
KT777838,A/shelduck/South_Africa/DLH/2012(H7N8),PA,none
LC339626,A/duck/Hokkaido/W189/2006(H13N6),PA,none
LC364304,A/duck/Vietnam/HU8_1621/2017(H5N1),PA,none
LC426769,A/chicken/Vietnam/HU3_9/2015(H9N2),PA,none
MH135707,A/lesser_black_backed_gull/Delaware_Bay/413/2017(mixed),PA,none
MK673895,A/India/TCM2581/2019(H9N2),PA,none
MK978847,A/whooper_swan/Iwate/21/2017(H6N8),PA,none
MN254348,A/Mallard/Alaska/AH0029096S.3.H/2015(mixed),PA,none
MT020213,A/duck/Mongolia/637/2019(H3N6),PA,none
CY011061,A/mallard/Ohio/275/1987(H4N2),PA,none
CY020786,A/mallard/Ohio/666/2002(H6N2),PA,none
CY020882,A/pintail/Alaska/49/2005(H3N8),PA,none
CY021594,A/mallard/Maryland/899/2002(mixed),PA,none
CY076989,A/dunlin/Sweden/1/2005(H4N6),PA,none
JX908096,A/swine/Spain/06/2011(H1N1),PA,none
KJ764729,A/swine/Korea/251_1/2008(H1N1),PA,none
KJ764760,A/swine/Korea/GNO5K1/2005(H1N2),PA,none
KT338520,A/emperor_goose/Alaska/676/2014(H4N6),PA,none
LC339682,A/duck/Hokkaido/W4/2010(H3N8),PA,none
LC349302,A/duck/Mongolia/202/2013(H4N1),PA,none
LC371769,A/duck/Hokkaido/1058/2001(H4N5),PA,none
LC500453,A/chicken/Vietnam/HU10_1947/2018(H9N2),PA,none
MK978959,A/duck/Mongolia/575/2018(H3N1),PA,none
MT020253,A/duck/Mongolia/820/2019(H4N2),PA,none
CY042679,A/mallard/Minnesota/Sg_00632/2008(H10N7),PA,none
KC345637,A/swine/Sarthe/0262/2010(H1N1),PA,none
KR092076,A/swine/Missouri/A01476459/2012(H3N2),PA,none
LC028151,A/duck/Vietnam/LBM553/2013(H3N8),PA,none
LC427562,A/duck/Vietnam/HU8_1918/2017(H3N2),PA,none
LC500445,A/duck/Vietnam/HU10_1879/2018(H6N6),PA,none
MK559307,A/chicken/Jalisco/7LG/2017(H7N3),PA,none
MK592556,A/duck/Hokkaido/WZ75/2017(H6N2),PA,none
MK979039,A/duck/Mongolia/837/2015(H1N1),PA,none
CY001509,A/New_York/247/1998(H3N2),PA,none
CY012805,A/mallard/Ohio/171/1990(H1N1),PA,none
CY016960,A/mallard/Ohio/66/1999(H1N1),PA,none
CY036252,A/magpie_robin/Hong_Kong/1097/2008(H5N1),PA,none
CY042913,A/mallard/Minnesota/Sg_00692/2008(H2N3),PA,none
CY042953,A/mallard/North_Dakota/Sg_00703/2008(H12N4),PA,none
CY061812,A/swine/Hong_Kong/201/2010(H1N1),PA,none
CY085104,A/swine/Hong_Kong/1795/1994(H1N1),PA,none
KF695277,A/mallard/Sweden/64/2003(H7N7),PA,none
KF695314,A/mallard/Sweden/64/2002(H5N2),PA,none
KF823972,A/swine/Italy/325451/2011(H1N1),PA,none
KF881647,A/chicken/Egypt/S4454E/2011(H9N2),PA,none
KF885674,A/duck/Moscow/4182/2010(H5N3),PA,none
KT777815,A/ostrich/South_Africa/AI1713/2009(H6N1),PA,none
KX000776,A/chicken/Egypt/F9516B/2014(H9N2),PA,none
LC121403,A/duck/Mongolia/521/2015(H3N8),PA,none
LC278300,A/duck/Japan/AQ_HE103/2015(H1N2),PA,none
LC339602,A/duck/Hokkaido/W132/2004(H12N5),PA,none
LC339650,A/duck/Hokkaido/W242/2006(H11N9),PA,none
LC339714,A/chicken/Vietnam/HU4_26/2015(H6N1),PA,none
LC364288,A/goose/Vietnam/HU8_1596/2017(H5N1),PA,none
LC426777,A/duck/Vietnam/HU3_184/2015(H6N6),PA,none
LC426793,A/chicken/Vietnam/HU3_515/2015(H6N6),PA,none
LC431459,A/duck/Alaska/3111/1993(H7N3),PA,none
LC431475,A/duck/Alaska/5111/1994(H2N3),PA,none
MH107177,A/chicken/Fes/Pmc1_23/2016(H9N2),PA,none
MK592492,A/duck/Hokkaido/56/2017(H12N2),PA,none
MK592500,A/duck/Hokkaido/59/2007(H7N7),PA,none
MK592564,A/duck/Iwate/301007/2012(H7N1),PA,none
MK592580,A/swan/Hokkaido/481102/2017(H4N6),PA,none
CY042612,A/mallard/Minnesota/Sg_00572/2008(H3N1),PA,none
CY042670,A/mallard/Minnesota/Sg_00630/2008(H10N7),PA,none
CY042893,A/mallard/Minnesota/Sg_00687/2008(H3N8),PA,none
KF695327,A/mallard/Sweden/49/2002(H5N9),PA,none
KX101169,A/Chilean_teal/Chile/12/2014(H7N3),PA,none
LC374948,A/duck/Japan/AQ_HE29_52/2017(H7N9),PA,none
LC427538,A/chicken/Vietnam/HU8_165/2017(H9N2),PA,none
MG720223,A/swine/Oklahoma/65260/2017(H3N2),PA,none
MK559299,A/chicken/Jalisco/716/2017(H7N3),PA,none
CY032210,A/mallard/Maryland/350/2002(H1N1),PA,none
CY060334,A/mallard/Sweden/58/2003(H11N1),PA,none
CY077888,A/Liverpool/1951(H1N1),PA,none
CY078007,A/blue_winged_teal/Louisiana/Sg_00093/2007(H10N7),PA,none
CY078087,A/blue_winged_teal/Texas/Sg_00159/2007(H4N8),PA,none
CY079056,A/northern_pintail/Interior_Alaska/8MP0689/2008(H8N4),PA,none
CY080292,A/mallard/Minnesota/Sg_00195/2007(H10N3),PA,none
CY094418,A/American_wigeon/California/9044/2008(H6N1),PA,none
GQ176107,A/whistling_swan/Shimane/468/1988(H10N4),PA,none
JQ711485,A/duck/Suphanburi/AI157/2005(H6N1),PA,none
KF695214,A/greylag_goose/Netherlands/1/1999(H6N2),PA,none
KT825150,A/chicken/India/12CL2168/2013(H5N1),PA,none
KX101177,A/black_necked_stilt/Chile/1/2013(H11N9),PA,none
LC427356,A/muscovy_duck/Vietnam/HU3_1409/2015(H6N6),PA,none
LC427490,A/duck/Vietnam/HU5_481/2016(H3N8),PA,none
MH574764,A/magpie_robin/California/28710_14/1993(H7N8),PA,none
MK978911,A/duck/Mongolia/123/2014(H10N8),PA,none
CY016161,A/gadwall/Ohio/37/1999(H6N2),PA,none
CY036228,A/black_crowned_night_heron/Hong_Kong/659/2008(H5N1),PA,none
CY060189,A/common_teal/Netherlands/9/2000(H11N9),PA,none
CY060248,A/mallard/Sweden/24/2002(H8N4),PA,none
CY060280,A/mallard/Sweden/45/2002(H11N8),PA,none
CY060315,A/mallard/Sweden/52/2003(H6N2),PA,none
CY060395,A/mallard/Sweden/88/2002(H2N1),PA,none
CY078023,A/blue_winged_teal/Louisiana/Sg_00099/2007(mixed),PA,none
CY104835,A/Hanoi/Q177/2006(H1N1),PA,none
DQ360839,A/Thailand/676/2005(H5N1),PA,none
HM059983,A/king_eider/Alaska/44397_858/2008(H10N9),PA,none
KF881348,A/chicken/Egypt/S3806D/2011(H5N1),PA,none
KJ527613,A/blue_winged_teal/Ohio/13OS1770/2013(H7N3),PA,none
KJ567944,A/blue_winged_teal/Ohio/13OS2037/2013(H7N1),PA,none
KJ568080,A/American_green_winged_teal/Ohio/13OS2060/2013(H6N8),PA,none
KJ568112,A/American_green_winged_teal/Ohio/13OS2084/2013(H6N8),PA,none
KJ568184,A/blue_winged_teal/Ohio/13OS2104/2013(H2N3),PA,none
KJ568336,A/blue_winged_teal/Ohio/13OS2055/2013(H6N7),PA,none
KJ568344,A/blue_winged_teal/Iowa/13OS2316/2013(H7N3),PA,none
KM213379,A/ruddy_turnstone/Iceland/1946/2012(H2N7),PA,none
KP896498,A/harlequin_duck/Alaska/250/2014(H10N7),PA,none
KR077955,A/redhead/Ohio/13OS0376/2013(H4N6),PA,none
KT338459,A/northern_pintail/Alaska/562/2014(H3N8),PA,none
KT717305,A/Anser_fabalis/China/Anhui/L256/2014(H6N1),PA,none
KT887266,A/ruddy_turnstone/New_Jersey/UGAI14_1204/2014(H7N3),PA,none
KU976928,A/swine/Mexico/AVX63/2014(H1N1),PA,none
KX638415,A/oriental_magpie_robin/HK/6154/2015(H5N6),PA,none
KX949531,A/northern_pintail/Alaska/UGAI15_7408/2015(H3N8),PA,none
KY063935,A/blue_winged_teal/Lousiana/UGAI14_0553/2014(H3N2),PA,none
KY063999,A/blue_winged_teal/Lousiana/UGAI14_1108/2014(H10N7),PA,none
KY284469,A/mallard/Ohio/15OS4208/2015(H6N2),PA,none
KY551014,A/mallard/North_Dakota/AH0050030/2015(H3N8),PA,none
LC028183,A/muscovy_duck/Vietnam/LBM721/2014(H3N8),PA,none
LC427348,A/duck/Vietnam/HU3_1268/2015(H4N6),PA,none
LC427498,A/duck/Vietnam/HU5_483/2016(H10N6),PA,none
MH546610,A/mallard/Michigan/15_031493_1/2015(H5N2),PA,none
MN254403,A/Mallard/Oregon/AH0072803S.3.A/2016(H10N7),PA,none
CY030522,A/duck/Vietnam/NCVD_43/2007(H5N1),PA,none
CY060240,A/mallard/Netherlands/1/1999(H4N6),PA,none
CY060293,A/mallard/Sweden/48/2002(H11N9),PA,none
CY061740,A/swine/Hong_Kong/2314/2009(H1N2),PA,none
CY077941,A/swine/Brabant/1984(H3N2),PA,none
CY079345,A/American_green_winged_teal/Wisconsin/08OS2292/2008(H3N2),PA,none
EF597411,A/chicken/Italy/9097/1997(H5N9),PA,none
GQ907339,A/ruddy_shelduck/Mongolia/37/2005(H12N3),PA,none
KF881482,A/chicken/Egypt/S5018C/2012(H9N2),PA,none
KU320885,A/guinea_fowl/France/150207n/2015(H5N9),PA,none
KY785861,A/duck/Korea/D3/2009(H9N2),PA,none
LC028127,A/muscovy_duck/Vietnam/LBM437/2013(H3N8),PA,none
LC427514,A/muscovy_duck/Vietnam/HU5_1642/2016(H6N6),PA,none
MG550084,A/duck/India/12CL22/2015(H6N2),PA,none
MH546450,A/emperor_goose/Alaska/17_004479_1/2016(H5N2),PA,none
MN254372,A/Blue_winged_Teal/Texas/AH0040390S.3.A/2015(H1N1),PA,none
CY006304,A/Hong_Kong/3/1969(H3N2),PA,none
CY016193,A/mallard/Ohio/322/1998(H7N3),PA,none
CY088631,A/Pune/NIV0953725/2009(H1N1),PA,none
CY094122,A/mallard/California/6524/2008(H12N5),PA,none
CY094770,A/mallard/California/1305/2010(H10N7),PA,none
CY101744,A/pintail/Alberta/105/1991(H3N8),PA,none
CY102646,A/shorebird/Delaware_Bay/77/2001(H6N2),PA,none
CY115841,A/swine/Cotes_d'Armor/0231/2006(H1N1),PA,none
CY115855,A/swine/Morbihan/0287/2007(H1N1),PA,none
CY117120,A/duck/Rugen/88_4/1981(H2N3),PA,none
CY122028,A/mallard/Sweden/99/2002(H2N3),PA,none
CY125041,A/Wellington/47/1992(H1N1),PA,none
CY128497,A/American_black_duck/New_Brunswick/03540/2009(H4N6),PA,none
CY132994,A/American_green_winged_teal/Illinois/10OS3343/2010(H2N3),PA,none
CY140849,A/blue_winged_Teal/Minnesota/AI09_3575/2009(H4N8),PA,none
CY144370,A/red_knot/New_Jersey/828235/2001(H6N5),PA,none
CY149617,A/common_eider/Maine/505/2011(H12N5),PA,none
CY185966,A/ruddy_turnstone/New_Jersey/AI11_2098/2011(H7N3),PA,none
CY202749,A/mallard/Maryland/11OS3949/2011(Mixed),PA,none
CY205479,A/blue_winged_teal/Texas/AI12_4454/2012(mixed),PA,none
CY213273,A/Mississippi/20/2016(H3N2),PA,none
CY228676,A/Hawaii/12/2017(H3N2),PA,none
DQ280239,A/swine/Ontario/23866/04(H1N1),PA,none
EF551052,A/swine/North_Carolina/2003(H3N2),PA,none
EU015991,A/swine/Guangxi/13/2006(H1N2),PA,none
GQ923146,A/waterfowl/Minnesota/459675/2006(H5N2),PA,none
GQ923242,A/mallard/Michigan/466372_3/2006(H5N2),PA,none
GQ923322,A/Canada_goose/Wyoming/473197_10/2006(H5N2),PA,none
GU050020,A/northern_pintail/Iowa/463992/2006(H5N2),PA,none
GU050748,A/mallard/Minnesota/550/2000(H2N1),PA,none
GU053385,A/mallard/Maryland/584/2002(H11N9),PA,none
HQ825173,A/quail/QC/FAV_10/2008(H3N2),PA,none
HQ825181,A/swine/QC/414/2009(H3N2),PA,none
HQ825217,A/swine/QC/1698_1/2009(H3N2),PA,none
HQ825234,A/swine/QC/1840_2/2009(H3N2),PA,none
JF346151,A/swine/Minnesota/761/2007(H3N2),PA,none
JF346153,A/swine/Minnesota/5947/2007(H3N2),PA,none
JF346154,A/swine/Minnesota/65767/2006(H3N2),PA,none
JF346156,A/swine/Minnesota/66960/2006(H3N2),PA,none
JF346158,A/swine/Minnesota/7931/2007(H3N2),PA,none
JQ794483,A/pigeon/Thailand/TS01/2007(H5N1),PA,none
KC900243,A/swine/Denmark/14348_9/2003(H3N2),PA,none
KC900263,A/swine/Denmark/12687/2003(H1N2),PA,none
KC900274,A/swine/Denmark/14348_3/2003(H1N1),PA,none
KF113550,A/chicken/Pakistan/NARC_28842/2011(H4N6),PA,none
KF952513,A/Hong_Kong/470129/2013(H7N9),PA,none
KJ764737,A/duck/Korea/372/2009(H1N1),PA,none
KT338584,A/northern_pintail/Alaska/886/2014(H16N3),PA,none
KT361925,A/duck/Bangladesh/21814/2014(H5N1),PA,none
KT361933,A/duck/Bangladesh/21469/2013(H5N1),PA,none
KT361987,A/duck/Bangladesh/20399/2013(H5N1),PA,none
KU311580,A/chicken/HoChiMinh/0181/2013(H9N2),PA,none
KX013053,A/mallard/Maryland/13OS0783/2013(H10N7),PA,none
KY629429,A/chicken/Bangladesh/22482/2014(H5N1),PA,none
KY629434,A/duck/Bangladesh/23660/2014(H5N1),PA,none
KY629476,A/duck/Bangladesh/22996/2014(H5N1),PA,none
KY629550,A/chicken/Bangladesh/23974/2014(H5N1),PA,none
KY629552,A/duck/Bangladesh/23858/2014(H5N1),PA,none
LC467223,A/Calidris_ruficollis/Hokkaido/12EY0172/2012(H4N7),PA,none
MH341593,A/duck/Shanghai/20180604/2017(H5N1),PA,none
MH727479,A/wild_goose/dongting_lake/121/2018(H6N2),PA,none
MK245797,A/Hawaii/55/2018(H1N1),PA,none
MK555065,A/Maryland/61/2018(H3N2),PA,none
MK630817,A/California/02/2019(H1N1),PA,none
MK676634,A/New_York/06/2019(H1N1),PA,none
MN160847,A/Delaware/35/2019(H1N1),PA,none
MN881385,A/Utah/52/2019(H1N1),PA,none
MT015441,A/Moscow/236/2019(H1N1),PA,none
AB285093,A/duck/Siberia/272PF/1998(H13N6),PA,none
CY003557,A/Hong_Kong/6/1972(H3N2),PA,none
CY015481,A/mallard/Ohio/249/1998(H6N1),PA,none
CY030286,A/duck/Vietnam/NCVD_7/2007(H5N1),PA,none
CY030500,A/chicken/Vietnam/NCVD_40/2007(H5N1),PA,none
CY064070,A/mallard/Minnesota/Sg_00055/2007(H12N5),PA,none
CY064206,A/blue_winged_teal/Texas/Sg_00076/2007(H4N6),PA,none
CY075962,A/northern_shoveler/California/44241_862/2006(H11N9),PA,none
CY076010,A/American_green_winged_teal/California/28228/2007(H7N6),PA,none
CY076018,A/cinnamon_teal/California/44287_325/2007(H3N8),PA,none
CY076026,A/American_green_winged_teal/California/44287_395/2007(H8N3),PA,none
CY076034,A/teal/Oregon/44336_122/2007(H3N8),PA,none
CY076050,A/teal/Oregon/44336_130/2007(H3N8),PA,none
CY076066,A/mallard/Washington/44338_195/2007(H12N5),PA,none
CY076106,A/common_murre/Oregon/20361_001/2007(H10N7),PA,none
CY076362,A/American_green_winged_teal/California/44287_084/2007(H7N3),PA,none
CY076474,A/northern_shoveler/Oregon/44336_179/2007(H4N6),PA,none
CY076861,A/cinnamon_teal/California/JN1310/2007(H7N3),PA,none
CY076926,A/mallard/Netherlands/7/2007(H4N2),PA,none
CY076934,A/mallard/Sweden/74/2003(H5N2),PA,none
CY076942,A/mallard/Netherlands/65/2006(H5N3),PA,none
CY076950,A/mallard/Netherlands/02/2000(H10N7),PA,none
CY076973,A/mallard/Netherlands/20/2005(H12N8),PA,none
CY077013,A/mallard/Netherlands/9/2005(H7N7),PA,none
CY077123,A/shorebird/Delaware/255/2006(H6N1),PA,none
CY077139,A/shorebird/Delaware/350/2006(H1N1),PA,none
CY077155,A/mallard/Alberta/76/2006(H1N3),PA,none
CY077171,A/mallard/Alberta/224/2006(H12N5),PA,none
CY077470,A/mallard/New_Zealand/275_11/2005(H4N6),PA,none
CY077502,A/mallard/New_Zealand/449_33/2004(H2N3),PA,none
CY077518,A/mallard/New_Zealand/449_68/2004(H1N2),PA,none
CY077549,A/mallard/New_Zealand/449_89/2004(mixed),PA,none
CY077565,A/mallard/New_Zealand/1440_372/2005(H4N6),PA,none
CY078095,A/mallard/Minnesota/Sg_00161/2007(H3N8),PA,none
CY078326,A/blue_winged_teal/Minnesota/Sg_00201/2007(H4N6),PA,none
CY078448,A/mallard/Interior_Alaska/6MP0745/2006(H4N6),PA,none
CY078568,A/mallard/Interior_Alaska/6MP0050R1/2006(H3N8),PA,none
CY078720,A/mallard/Interior_Alaska/9BM1812/2009(H4N6),PA,none
CY078904,A/northern_pintail/Interior_Alaska/7MP0345BR2/2007(H3N8),PA,none
CY079072,A/mallard/Interior_Alaska/8BM2967/2008(H12N5),PA,none
CY079152,A/northern_shoveler/Interior_Alaska/8BM3684/2008(mixed),PA,none
CY079160,A/northern_pintail/Interior_Alaska/8BM3700/2008(H3N8),PA,none
CY079409,A/American_coot/Mississippi/09OS615/2009(H10N3),PA,none
CY079898,A/mallard/Interior_Alaska/9BM1907R1/2009(H12),PA,none
CY080512,A/turkey/Wisconsin/1/1968(H5N9),PA,none
CY087813,A/turkey/Ontario/6213/1966(mixed),PA,none
CY090858,A/blue_winged_teal/Texas/Sg_00173/2007(H4N8),PA,none
CY093915,A/green_winged_teal/California/00083/2009(H10N7),PA,none
CY094018,A/mallard/California/5219/2009(H5N2),PA,none
CY094234,A/mallard/California/9573/2008(H4N6),PA,none
CY094570,A/mallard/California/6695/2009(H6N1),PA,none
CY094610,A/mallard/California/5271/2009(H4N6),PA,none
CY094762,A/mallard/California/1210/2010(H4N6),PA,none
CY097063,A/ruddy_duck/Illinois/3471/2009(H3N8),PA,none
CY097081,A/mallard/Iowa/3195/2009_mixed_(mixed),PA,none
CY097098,A/mallard/Missouri/350/2009(H11N9),PA,none
CY097122,A/mallard/Ohio/2033/2009(H4N9),PA,none
CY097156,A/American_green_winged_teal/Mississippi/383/2010(H11N9),PA,none
CY097164,A/American_coot/Illinois/3405/2009(H10N3),PA,none
CY097191,A/American_green_winged_teal/Illinois/3053/2009_mixed_(mixed),PA,none
CY097339,A/mallard/Wisconsin/2560/2009(H2N3),PA,none
CY097403,A/mallard/Wisconsin/4196/2009(mixed),PA,none
CY097411,A/mallard/Wisconsin/4197/2009(H1N1),PA,none
CY097523,A/gadwall/Illinois/3860/2009(H6N1),PA,none
CY097603,A/mallard/Missouri/132/2009(H2N3),PA,none
CY097707,A/mallard/Mississippi/354/2010(H3N8),PA,none
CY099124,A/swine/Minnesota/02053/2008(H1N1),PA,none
CY099140,A/swine/Minnesota/02905/2009(H1N1),PA,none
CY099196,A/swine/Illinois/SG1141/2003(H1N1),PA,none
CY099212,A/swine/Minnesota/02324/2008(H1N2),PA,none
CY099220,A/swine/Minnesota/001444/2007(H3N2),PA,none
CY101097,A/ruddy_turnstone/Delaware/24/1990(mixed),PA,none
CY101098,A/ruddy_turnstone/Delaware/24/1990(mixed),PA,none
CY101113,A/ruddy_turnstone/New_Jersey/138/1990(H3N6),PA,none
CY101189,A/shorebird/Delaware_Bay/275/1994(mixed),PA,none
CY101219,A/ruddy_turnstone/Delaware_Bay/215/1996(mixed),PA,none
CY101229,A/shorebird/Delaware_Bay/260/1996(H9N9),PA,none
CY101241,A/sanderling/Delaware_Bay/65/1999(mixed),PA,none
CY101254,A/sanderling/Delaware_Bay/70/1999(H3N8),PA,none
CY101263,A/ruddy_turnstone/Delaware_Bay/136/1999(H3N2),PA,none
CY101292,A/shorebird/Delaware_Bay/205/1999(mixed),PA,none
CY101328,A/shorebird/Delaware_Bay/73/2003(H9N2),PA,none
CY101443,A/pintail/Alberta/128/1987(H3N8),PA,none
CY101568,A/mallard/Alberta/378/1988(H3N8),PA,none
CY101576,A/blue_winged_teal/Alberta/427/1986(H4N6),PA,none
CY101584,A/mallard/Alberta/575/1986(H4N6),PA,none
CY101608,A/mallard/Alberta/20/1989(H3N8),PA,none
CY101616,A/mallard/Alberta/195/1989(H7N3),PA,none
CY101648,A/blue_winged_teal/Alberta/121/1990(H4N6),PA,none
CY101664,A/ruddy_turnstone/Delaware_Bay/231/1991(H6N8),PA,none
CY101680,A/mallard/Alberta/18/1991(H4N6),PA,none
CY101688,A/mallard/Alberta/32/1991(H3N8),PA,none
CY101696,A/mallard/Alberta/54/1991(H3N8),PA,none
CY101776,A/mallard/Alberta/129/1991(H3N6),PA,none
CY101820,A/mallard/Alberta/12/1993(mixed),PA,none
CY101829,A/mallard/Alberta/54/1993(H3N9),PA,none
CY101903,A/ruddy_turnstone/Delaware_Bay/86/1994(H3N8),PA,none
CY102145,A/mallard/Alberta/85/1994(H3N8),PA,none
CY102153,A/mallard/Alberta/142/1994(H3N6),PA,none
CY102161,A/mallard/Alberta/193/1994(H3N8),PA,none
CY102169,A/mallard/Alberta/43/1995(H4N6),PA,none
CY102193,A/shorebird/Delaware_Bay/31/1996(H9N7),PA,none
CY102217,A/mallard/Alberta/296/1996(H4N6),PA,none
CY102225,A/shorebird/Delaware_Bay/111/1997(H2N1),PA,none
CY102265,A/ruddy_turnstone/Delaware_Bay/142/1998(H2N8),PA,none
CY102281,A/shorebird/Delaware_Bay/210/1998(H3N8),PA,none
CY102321,A/mallard/Alberta/167/1998(H3N8),PA,none
CY102638,A/shorebird/Delaware_Bay/277/2000(H9N7),PA,none
CY102685,A/mallard/Alberta/35/2001(H4N6),PA,none
CY102701,A/shorebird/Delaware_Bay/18/2002(H1N9),PA,none
CY102741,A/shorebird/Delaware_Bay/246/2003(H9N5),PA,none
CY102773,A/mallard/Alberta/237/2003(H4N6),PA,none
CY102789,A/mallard/Alberta/192/2004(H3N1),PA,none
CY102822,A/shorebird/Delaware_Bay/117/2005(mixed),PA,none
CY103041,A/mallard/Alberta/212/2006(H3N8),PA,none
CY103167,A/mallard/Alberta/279/2006(H3N8),PA,none
CY103183,A/ruddy_turnstone/Delaware_Bay/124/2007(H7N3),PA,none
CY103381,A/mallard/Alberta/330/2007(H4N6),PA,none
CY103399,A/blue_winged_teal/Alberta/346/2007(H4N3),PA,none
CY103508,A/shorebird/Delaware_Bay/275/2009(mixed),PA,none
CY112377,A/Auckland/4382/1982(mixed),PA,none
CY114490,A/Netherlands/5/1998(H3N2),PA,none
CY116728,A/Peking_duck/Wagun/1827_6/1984(H11N2),PA,none
CY116738,A/mallard/Berlin/453_4/1980(mixed),PA,none
CY116747,A/mallard/Rugen/27_6/1980(mixed),PA,none
CY116840,A/mallard/New_York/6750/1978(H2N2),PA,none
CY116848,A/mallard/MT/Y61(H2N2),PA,none
CY116912,A/chicken/Connecticut/13657/1990(H2N2),PA,none
CY116984,A/chicken/New_Jersey/5404_1/1995(H2N2),PA,none
CY117000,A/guinea_fowl/New_Jersey/14600_21/1995(H2N2),PA,none
CY117072,A/mallard/Rugen/26_4/1980(H2N3),PA,none
CY117176,A/Peking_duck/Heinersdorf/648_6/1985(H2N3),PA,none
CY117192,A/duck/Pennsylvania/9411697/1996(H2N3),PA,none
CY117224,A/silkie_chicken/Pennsylvania/9600897/1996(H2N3),PA,none
CY117240,A/mallard/Ontario/56/1976(H2N3),PA,none
CY117338,A/mallard/Pennsylvania/9001/1984(H2N6),PA,none
CY117362,A/mallard/Alberta/881/1984(H2N3),PA,none
CY117410,A/mallard/Alberta/35/2009(H2N3),PA,none
CY120522,A/northern_shoveler/California/3185/2010(mixed),PA,none
CY120576,A/mallard/California/1492/2010(H6N4),PA,none
CY120584,A/mallard/California/1523/2010(H4N6),PA,none
CY120608,A/northern_shoveler/California/3046/2010(H4N3),PA,none
CY120632,A/American_wigeon/California/3180/2010(H5N2),PA,none
CY120664,A/northern_pintail/California/3466/2010(H1N3),PA,none
CY120672,A/northern_shoveler/California/3483/2010(H12N5),PA,none
CY122036,A/mallard/Sweden/109/2002(H2N7),PA,none
CY122044,A/mallard/Sweden/111/2002(H2N7),PA,none
CY122064,A/mallard/Sweden/113/2002(H2N1),PA,none
CY122097,A/mallard/Sweden/57/2002(H2N3),PA,none
CY122144,A/mallard/Sweden/9/2003(H2N7),PA,none
CY122152,A/mallard/Sweden/53/2003(H2N3),PA,none
CY122160,A/mallard/Sweden/43/2005(H2N9),PA,none
CY125089,A/Moscow/13/1998(H1N1),PA,none
CY125145,A/Chile/8885/2001(H1N1),PA,none
CY125201,A/Canada/591/2004(H1N1),PA,none
CY125225,A/green_winged_teal/New_Brunswick/02600/2007(H4N6),PA,none
CY125242,A/green_winged_teal/New_Brunswick/02585/2007(N6),PA,none
CY125262,A/green_winged_teal/New_Brunswick/02526/2007(mixed),PA,none
CY125271,A/blue_winged_teal/Nova_Scotia/03971/2009(H3N8),PA,none
CY125290,A/blue_winged_teal/Prince_Edward_Island/03927/2009(H3N8),PA,none
CY125530,A/American_wigeon/New_Brunswick/04497/2007(H3N8),PA,none
CY125570,A/blue_winged_teal/Prince_Edward_Island/03912/2009(H3N8),PA,none
CY125747,A/glaucous_winged_gull/Southeastern_Alaska/10JR01856R0/2010(H11N9),PA,none
CY125755,A/northern_pintail/Interior_Alaska/10BM14807R2/2010(H9N2),PA,none
CY126409,A/pintail/Alberta/480/1986(H6N2),PA,none
CY126464,A/mallard/Alberta/57/1994(H6N8),PA,none
CY126488,A/ruddy_turnstone/Delaware_Bay/201/1996(mixed),PA,none
CY126500,A/ruddy_turnstone/Delaware_Bay/125/1998(mixed),PA,none
CY126773,A/mallard/Alberta/270/1986(H6N2),PA,none
CY126893,A/laughing_gull/New_Jersey/194/1990(H6N8),PA,none
CY126925,A/ruddy_turnstone/Delaware_Bay/255/1991(H6N2),PA,none
CY127005,A/ruddy_turnstone/Delaware_Bay/36/1993(H11N8),PA,none
CY127069,A/laughing_gull/Delaware_Bay/208/1994(H6N3),PA,none
CY127258,A/ruddy_turnstone/Delaware_Bay/220/1995(H7N9),PA,none
CY127354,A/shorebird/Delaware_Bay/32/1996(H11N2),PA,none
CY127394,A/ruddy_turnstone/Delaware_Bay/203/1996(H6N2),PA,none
CY127402,A/mallard/Alberta/279/1996(H11N9),PA,none
CY127410,A/ruddy_turnstone/Delaware_Bay/46/1998(H6N8),PA,none
CY127611,A/mallard/Alberta/215/1999(mixed),PA,none
CY127635,A/mallard/Alberta/64/2000(H11N9),PA,none
CY127643,A/mallard/Alberta/193/2000(H11N9),PA,none
CY127788,A/ruddy_turnstone/Delaware_Bay/136/2007(H6N1),PA,none
CY127900,A/shorebird/Delaware_Bay/707/2009(H6N2),PA,none
CY127918,A/Canada_goose/Delaware_Bay/34/2010(H6N1),PA,none
CY128481,A/mallard/Nova_Scotia/02445/2007(mixed),PA,none
CY128605,A/American_black_duck/New_Brunswick/02566/2007(mixed),PA,none
